t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_if_px,ee_if_py,ee_if_pz,ee_if_stamp_sec,ee_if_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763745975,471449074,-3.173767,2.190884,-0.420179,-0.010331,-0.069602,0.025054,1763745975,471449074,-2.357236,-0.683535,-0.879764,0.003155,-0.058005,-0.026570,1763745975,471449074,-0.088930,0.651312,-5.150003,-0.016540,-0.028472,-0.006967,1763745975,471449074,0.000150,-0.030157,0.391888,1763745975,471449074,-0.000751,-0.001408,0.417905,1763745975,471449074,-0.011861,0.006820,0.386572,1763745975,471449074,0.483034,1763745975,471449074,123.000000,245.000000,788.000000,392.000000,66.000000,36.000000,241.000000,47.000000,1763745975,471449074
1763745975,476798893,-3.169767,2.175884,-0.389179,-0.010251,-0.069532,0.024824,1763745975,476798893,-2.353236,-0.693535,-0.877764,0.003005,-0.058005,-0.026680,1763745975,476798893,-0.099930,0.653312,-5.180003,-0.016530,-0.028532,-0.006357,1763745975,476798893,0.000150,-0.030048,0.391989,1763745975,476798893,-0.000713,-0.001386,0.417868,1763745975,476798893,-0.011869,0.006825,0.386572,1763745975,476798893,0.483034,1763745975,476798893,123.000000,245.000000,788.000000,392.000000,66.000000,36.000000,241.000000,47.000000,1763745975,476798893
1763745975,482042505,-3.163767,2.193884,-0.421179,-0.010341,-0.069532,0.025324,1763745975,482042505,-2.384236,-0.718535,-0.913764,0.003175,-0.058145,-0.026110,1763745975,482042505,-0.082930,0.691312,-5.150003,-0.016420,-0.028452,-0.007117,1763745975,482042505,0.000150,-0.030048,0.391989,1763745975,482042505,-0.000713,-0.001386,0.417868,1763745975,482042505,-0.011869,0.006825,0.386572,1763745975,482042505,0.483034,1763745975,482042505,135.000000,209.000000,716.000000,375.000000,64.000000,37.000000,244.000000,46.000000,1763745975,482042505
1763745975,486605868,-3.158767,2.189884,-0.440179,-0.010501,-0.069352,0.024864,1763745975,486605868,-2.373236,-0.710535,-0.878764,0.003425,-0.058005,-0.025300,1763745975,486605868,-0.104930,0.658312,-5.132003,-0.016550,-0.028472,-0.006237,1763745975,486605868,0.000150,-0.030048,0.391989,1763745975,486605868,-0.000713,-0.001386,0.417868,1763745975,486605868,-0.011869,0.006825,0.386572,1763745975,486605868,0.483034,1763745975,486605868,135.000000,209.000000,716.000000,375.000000,64.000000,37.000000,244.000000,46.000000,1763745975,486605868
1763745975,492377442,-3.152767,2.179884,-0.388179,-0.010411,-0.069312,0.024894,1763745975,492377442,-2.358236,-0.706535,-0.919764,0.003365,-0.057985,-0.025650,1763745975,492377442,-0.109930,0.641312,-5.155003,-0.016450,-0.028572,-0.006557,1763745975,492377442,0.000150,-0.030048,0.391989,1763745975,492377442,-0.000713,-0.001386,0.417868,1763745975,492377442,-0.011869,0.006825,0.386572,1763745975,492377442,0.483034,1763745975,492377442,135.000000,209.000000,716.000000,375.000000,64.000000,37.000000,244.000000,46.000000,1763745975,492377442
1763745975,496854822,-3.154767,2.190884,-0.435179,-0.010321,-0.069472,0.024614,1763745975,496854822,-2.385236,-0.698535,-0.916764,0.003375,-0.058125,-0.026090,1763745975,496854822,-0.123930,0.653312,-5.171003,-0.016410,-0.028512,-0.006567,1763745975,496854822,0.000150,-0.029941,0.392024,1763745975,496854822,-0.000570,-0.001303,0.417628,1763745975,496854822,-0.011858,0.006819,0.386572,1763745975,496854822,0.482379,1763745975,496854822,135.000000,209.000000,716.000000,375.000000,64.000000,37.000000,244.000000,46.000000,1763745975,496854822
1763745975,502188006,-3.160767,2.180884,-0.398179,-0.010551,-0.069522,0.024864,1763745975,502188006,-2.357236,-0.689535,-0.913764,0.003455,-0.057995,-0.025840,1763745975,502188006,-0.120930,0.646312,-5.165003,-0.016430,-0.028412,-0.006197,1763745975,502188006,0.000150,-0.029941,0.392024,1763745975,502188006,-0.000570,-0.001303,0.417628,1763745975,502188006,-0.011858,0.006819,0.386572,1763745975,502188006,0.482379,1763745975,502188006,135.000000,209.000000,716.000000,375.000000,64.000000,37.000000,244.000000,46.000000,1763745975,502188006
1763745975,506622915,-3.181767,2.193884,-0.414179,-0.010431,-0.069492,0.024674,1763745975,506622915,-2.375236,-0.706535,-0.909764,0.003375,-0.058285,-0.026180,1763745975,506622915,-0.119930,0.680312,-5.154003,-0.016490,-0.028442,-0.006207,1763745975,506622915,0.000150,-0.029941,0.392024,1763745975,506622915,-0.000570,-0.001303,0.417628,1763745975,506622915,-0.011858,0.006819,0.386572,1763745975,506622915,0.482379,1763745975,506622915,146.000000,206.000000,670.000000,372.000000,64.000000,40.000000,263.000000,50.000000,1763745975,506622915
1763745975,511886413,-3.168767,2.185884,-0.435179,-0.010471,-0.069452,0.024384,1763745975,511886413,-2.359236,-0.699535,-0.925764,0.003395,-0.058125,-0.025470,1763745975,511886413,-0.095930,0.653312,-5.179003,-0.016550,-0.028322,-0.006767,1763745975,511886413,0.000150,-0.029941,0.392024,1763745975,511886413,-0.000570,-0.001303,0.417628,1763745975,511886413,-0.011858,0.006819,0.386572,1763745975,511886413,0.482379,1763745975,511886413,146.000000,206.000000,670.000000,372.000000,64.000000,40.000000,263.000000,50.000000,1763745975,511886413
1763745975,516840958,-3.177767,2.172884,-0.388179,-0.010681,-0.069482,0.024374,1763745975,516840958,-2.383236,-0.723535,-0.887764,0.003415,-0.058125,-0.025460,1763745975,516840958,-0.094930,0.657312,-5.168003,-0.016430,-0.028172,-0.006247,1763745975,516840958,0.000150,-0.030157,0.391888,1763745975,516840958,-0.000520,-0.001275,0.417560,1763745975,516840958,-0.011861,0.006820,0.386572,1763745975,516840958,0.482379,1763745975,516840958,146.000000,206.000000,670.000000,372.000000,64.000000,40.000000,263.000000,50.000000,1763745975,516840958
